"Number of processes";1;4;8;12;16
"Parallel fraction";99.810000
"Global efficiency";99.846551;78.215439;63.173556;46.257978;29.553094
"-- Parallelization strategy efficiency";99.846551;95.158123;92.165180;73.051983;52.886836
" -- Load balancing";100.000000;97.584062;96.231884;95.692112;95.589719
" -- In execution efficiency";99.846551;97.514001;95.774058;76.340653;55.326908
"-- Scalability for computation tasks";100.000000;82.195231;68.543842;63.322001;55.879867
" -- IPC scalability";100.000000;84.208249;74.673250;71.215611;62.815425
" -- Instruction scalability";100.000000;99.803141;99.545172;99.286583;99.029463
" -- Frequency scalability";100.000000;97.802009;92.211097;89.554800;89.830670
