"Number of processes";1;4;8;12;16
"Parallel fraction";99.850000
"Global efficiency";99.698940;91.214118;51.524541;25.087147;14.579233
"-- Parallelization strategy efficiency";99.698940;95.243064;57.892292;29.406585;17.436623
" -- Load balancing";100.000000;98.753389;98.457015;97.172964;96.391905
" -- In execution efficiency";99.698940;96.445362;58.799561;30.262106;18.089302
"-- Scalability for computation tasks";100.000000;95.769828;89.000693;85.311325;83.612713
" -- IPC scalability";100.000000;98.185195;97.369870;97.035737;96.242558
" -- Instruction scalability";100.000000;99.469387;98.770712;98.059126;97.386081
" -- Frequency scalability";100.000000;98.060309;92.542370;89.657570;89.208918
