All overheads expressed in microseconds
Ntasks	Overhead	Overhead per task
2	0.2211		0.1105
4	0.4280		0.1070
6	0.6433		0.1072
8	0.8539		0.1067
10	1.0756		0.1076
12	1.2798		0.1067
14	1.4846		0.1060
16	1.6999		0.1062
18	1.9076		0.1060
20	2.1334		0.1067
22	2.3365		0.1062
24	2.5513		0.1063
26	2.7577		0.1061
28	2.9743		0.1062
30	3.1878		0.1063
32	3.4051		0.1064
34	3.6187		0.1064
36	3.8271		0.1063
38	4.0333		0.1061
40	4.2467		0.1062
42	4.4599		0.1062
44	4.6750		0.1062
46	4.8903		0.1063
48	5.1038		0.1063
50	5.3116		0.1062
52	5.5235		0.1062
54	5.7292		0.1061
56	5.9453		0.1062
58	6.1471		0.1060
60	6.3741		0.1062
62	6.6005		0.1065
64	6.8171		0.1065
