	MAIN_TAREADOR	basicsort	basicmerge	
THREAD 1.1.1	4300000.00	0.00	0.00	
THREAD 1.1.2	0.00	79220671000.00	0.00	
THREAD 1.1.3	0.00	78257746000.00	0.00	
THREAD 1.1.4	0.00	78468271000.00	0.00	
THREAD 1.1.5	0.00	79247171000.00	0.00	
THREAD 1.1.6	0.00	0.00	81981000.00	
THREAD 1.1.7	0.00	0.00	83142000.00	
THREAD 1.1.8	0.00	0.00	81981000.00	
THREAD 1.1.9	0.00	0.00	83290000.00	
THREAD 1.1.10	0.00	0.00	81981000.00	
THREAD 1.1.11	0.00	0.00	83312000.00	
THREAD 1.1.12	0.00	0.00	83446000.00	
THREAD 1.1.13	0.00	0.00	83163000.00	
THREAD 1.1.14	0.00	78761796000.00	0.00	
THREAD 1.1.15	0.00	78910071000.00	0.00	
THREAD 1.1.16	0.00	77958946000.00	0.00	
THREAD 1.1.17	0.00	78248746000.00	0.00	
THREAD 1.1.18	0.00	0.00	81981000.00	
THREAD 1.1.19	0.00	0.00	83170000.00	
THREAD 1.1.20	0.00	0.00	81981000.00	
THREAD 1.1.21	0.00	0.00	82776000.00	
THREAD 1.1.22	0.00	0.00	81981000.00	
THREAD 1.1.23	0.00	0.00	83322000.00	
THREAD 1.1.24	0.00	0.00	83436000.00	
THREAD 1.1.25	0.00	0.00	83306000.00	
THREAD 1.1.26	0.00	78546621000.00	0.00	
THREAD 1.1.27	0.00	78160021000.00	0.00	
THREAD 1.1.28	0.00	79040571000.00	0.00	
THREAD 1.1.29	0.00	79573971000.00	0.00	
THREAD 1.1.30	0.00	0.00	81981000.00	
THREAD 1.1.31	0.00	0.00	83051000.00	
THREAD 1.1.32	0.00	0.00	81981000.00	
THREAD 1.1.33	0.00	0.00	83018000.00	
THREAD 1.1.34	0.00	0.00	81981000.00	
THREAD 1.1.35	0.00	0.00	83312000.00	
THREAD 1.1.36	0.00	0.00	83436000.00	
THREAD 1.1.37	0.00	0.00	83290000.00	
THREAD 1.1.38	0.00	78251496000.00	0.00	
THREAD 1.1.39	0.00	78892296000.00	0.00	
THREAD 1.1.40	0.00	78327296000.00	0.00	
THREAD 1.1.41	0.00	78084721000.00	0.00	
THREAD 1.1.42	0.00	0.00	81981000.00	
THREAD 1.1.43	0.00	0.00	83280000.00	
THREAD 1.1.44	0.00	0.00	81981000.00	
THREAD 1.1.45	0.00	0.00	83175000.00	
THREAD 1.1.46	0.00	0.00	81981000.00	
THREAD 1.1.47	0.00	0.00	83186000.00	
THREAD 1.1.48	0.00	0.00	83310000.00	
THREAD 1.1.49	0.00	0.00	83301000.00	
THREAD 1.1.50	0.00	0.00	81981000.00	
THREAD 1.1.51	0.00	0.00	82938000.00	
THREAD 1.1.52	0.00	0.00	83446000.00	
THREAD 1.1.53	0.00	0.00	83186000.00	
THREAD 1.1.54	0.00	0.00	83310000.00	
THREAD 1.1.55	0.00	0.00	83320000.00	
THREAD 1.1.56	0.00	0.00	83436000.00	
THREAD 1.1.57	0.00	0.00	83175000.00	
THREAD 1.1.58	0.00	0.00	81981000.00	
THREAD 1.1.59	0.00	0.00	82948000.00	
THREAD 1.1.60	0.00	0.00	83436000.00	
THREAD 1.1.61	0.00	0.00	83072000.00	
THREAD 1.1.62	0.00	0.00	83560000.00	
THREAD 1.1.63	0.00	0.00	83320000.00	
THREAD 1.1.64	0.00	0.00	83446000.00	
THREAD 1.1.65	0.00	0.00	83264000.00	
THREAD 1.1.66	0.00	0.00	81981000.00	
THREAD 1.1.67	0.00	0.00	83186000.00	
THREAD 1.1.68	0.00	0.00	83446000.00	
THREAD 1.1.69	0.00	0.00	83436000.00	
THREAD 1.1.70	0.00	0.00	83320000.00	
THREAD 1.1.71	0.00	0.00	83444000.00	
THREAD 1.1.72	0.00	0.00	83560000.00	
THREAD 1.1.73	0.00	0.00	83560000.00	
THREAD 1.1.74	0.00	0.00	83310000.00	
THREAD 1.1.75	0.00	0.00	83444000.00	
THREAD 1.1.76	0.00	0.00	83434000.00	
THREAD 1.1.77	0.00	0.00	83434000.00	
THREAD 1.1.78	0.00	0.00	83434000.00	
THREAD 1.1.79	0.00	0.00	83310000.00	
THREAD 1.1.80	0.00	0.00	83186000.00	
THREAD 1.1.81	0.00	0.00	82927000.00	

Total	4300000.00	1257950411000.00	5310725000.00	
Average	4300000.00	78621900687.50	82980078.12	
Maximum	4300000.00	79573971000.00	83560000.00	
Minimum	4300000.00	77958946000.00	81981000.00	
StDev	0.00	465930219.95	573261.40	
Avg/Max	1.00	0.99	0.99	

