"Number of processes";1;2;4;6;8;10;12;14;16
"Parallel fraction";88.620000
"Global efficiency";89.076701;38.471667;24.145909;17.132537;13.662926;11.118941;8.993697;7.660827;7.014545
"-- Parallelization strategy efficiency";89.076701;49.143687;34.809874;27.387573;21.018374;17.363148;13.958368;11.972160;10.854488
" -- Load balancing";100.000000;94.577978;96.880959;98.113823;93.018228;96.006659;93.073638;92.724271;88.313493
" -- In execution efficiency";89.076701;51.961026;35.930563;27.914082;22.595973;18.085358;14.997123;12.911571;12.290860
"-- Scalability for computation tasks";100.000000;78.284047;69.365113;62.555876;65.004674;64.037589;64.432298;63.988684;64.623455
" -- IPC scalability";100.000000;65.028240;58.787225;55.977484;57.646780;58.471657;59.381673;59.406877;59.712765
" -- Instruction scalability";100.000000;121.299299;121.386177;121.561031;121.571642;121.513164;121.487073;121.449507;121.513942
" -- Frequency scalability";100.000000;99.245993;97.205068;91.930656;92.754983;90.129350;89.314327;88.689193;89.062910
