"Number of processes";1;2;4;6;8;10;12;14;16
"Parallel fraction";64.050000
"Global efficiency";99.947507;94.530572;79.571702;50.730830;37.903281;30.048697;24.942376;21.204912;18.768506
"-- Parallelization strategy efficiency";99.947507;95.317957;82.965351;55.233493;41.600883;33.476618;27.808483;23.748483;20.893901
" -- Load balancing";100.000000;95.447765;83.179489;60.602005;49.829337;44.328633;36.828854;31.706691;24.850157
" -- In execution efficiency";99.947507;99.864001;99.742560;91.141362;83.486729;75.519176;75.507325;74.900541;84.079551
"-- Scalability for computation tasks";100.000000;99.173938;95.909558;91.847947;91.111722;89.760254;89.693409;89.289545;89.827677
" -- IPC scalability";100.000000;99.458733;98.588779;98.540684;98.840435;99.142986;99.092252;98.644785;99.215930
" -- Instruction scalability";100.000000;99.997509;99.990936;99.985161;99.981934;99.978738;99.978188;99.976001;99.975120
" -- Frequency scalability";100.000000;99.716140;97.291246;93.221982;92.197273;90.555416;90.534805;90.537963;90.560086
