"Number of processes";1;4;8;12;16
"Parallel fraction";99.840000
"Global efficiency";99.563371;72.222515;41.646671;23.375917;13.037518
"-- Parallelization strategy efficiency";99.563371;76.027927;47.084294;27.700357;15.692616
" -- Load balancing";100.000000;96.244476;95.938296;95.709225;95.070362
" -- In execution efficiency";99.563371;78.994587;49.077684;28.942202;16.506318
"-- Scalability for computation tasks";100.000000;94.994719;88.451303;84.388505;83.080587
" -- IPC scalability";100.000000;97.631999;97.307550;96.637418;96.345277
" -- Instruction scalability";100.000000;99.424573;98.661135;97.908369;97.174656
" -- Frequency scalability";100.000000;97.861879;92.132231;89.190410;88.739323
