"Number of processes";1;4;8;12;16
"Parallel fraction";84.460000
"Global efficiency";98.785200;48.849261;23.765781;8.751726;5.434825
"-- Parallelization strategy efficiency";98.785200;89.118603;87.079908;70.190887;55.117297
" -- Load balancing";99.999999;97.945245;97.955729;97.345949;97.319484
" -- In execution efficiency";98.785201;90.988187;88.897208;72.104580;56.635419
"-- Scalability for computation tasks";100.000000;54.813765;27.291922;12.468465;9.860471
" -- IPC scalability";100.000000;68.695732;50.707054;38.037143;39.310045
" -- Instruction scalability";100.000000;98.329060;96.177912;94.118563;92.184080
" -- Frequency scalability";100.000000;81.148031;55.961636;34.828103;27.210604
