"Number of processes";1;4;8;12;16
"Parallel fraction";37.850000
"Global efficiency";99.957753;79.115020;60.277252;52.570500;45.980379
"-- Parallelization strategy efficiency";99.957753;96.828813;96.672548;96.404473;96.278777
" -- Load balancing";100.000000;97.372372;97.849694;97.689646;97.420177
" -- In execution efficiency";99.957753;99.441773;98.796985;98.684433;98.828374
"-- Scalability for computation tasks";100.000000;81.706072;62.351984;54.531183;47.757544
" -- IPC scalability";100.000000;81.802261;66.269797;60.010906;52.661348
" -- Instruction scalability";100.000000;99.991356;99.980024;99.968497;99.957183
" -- Frequency scalability";100.000000;99.891047;94.106886;90.897425;90.726886
