"Number of processes";1;4;8;12;16
"Parallel fraction";99.910000
"Global efficiency";95.298148;37.632723;21.717977;12.776779;9.884431
"-- Parallelization strategy efficiency";95.298148;45.232566;29.779393;18.759363;14.995729
" -- Load balancing";100.000000;92.295519;53.657229;32.690537;24.196195
" -- In execution efficiency";95.298148;49.008410;55.499313;57.384689;61.975565
"-- Scalability for computation tasks";100.000000;83.198294;72.929547;68.108811;65.914980
" -- IPC scalability";100.000000;79.863942;73.695025;70.109199;68.239652
" -- Instruction scalability";100.000000;104.010517;104.263441;104.257340;104.140417
" -- Frequency scalability";100.000000;100.158181;94.914659;93.179774;92.753010
