"Number of processes";1;4;8;12;16
"Parallel fraction";99.220000
"Global efficiency";99.983678;88.846823;83.206982;79.351291;77.308436
"-- Parallelization strategy efficiency";99.983678;90.527656;92.734196;90.690405;88.943171
" -- Load balancing";100.000000;90.608728;92.921048;90.927023;89.287336
" -- In execution efficiency";99.983678;99.910524;99.798913;99.739771;99.614543
"-- Scalability for computation tasks";100.000000;98.143294;89.726321;87.496898;86.918911
" -- IPC scalability";100.000000;98.680598;97.321944;96.563761;95.981009
" -- Instruction scalability";100.000000;99.997499;99.994119;99.991211;99.988074
" -- Frequency scalability";100.000000;99.457999;92.200787;90.618456;90.569248
