"Number of processes";1;2;4;6;8;10;12;14;16
"Parallel fraction";90.240000
"Global efficiency";92.135623;41.048054;25.563279;16.749067;11.296187;8.735942;6.479798;4.914986;4.741157
"-- Parallelization strategy efficiency";92.135623;55.792203;40.343038;29.000078;19.389809;15.654654;12.547606;10.993011;10.079609
" -- Load balancing";100.000000;98.585544;92.837118;64.292734;41.355217;30.406619;22.083701;15.676378;14.816313
" -- In execution efficiency";92.135623;56.592681;43.455720;45.106308;46.886005;51.484364;56.818403;70.124685;68.030477
"-- Scalability for computation tasks";100.000000;73.573102;63.364784;57.755247;58.258370;55.804119;51.641707;44.710095;47.037117
" -- IPC scalability";100.000000;65.113434;56.889718;54.847695;54.703420;53.668654;49.853459;44.964255;47.158511
" -- Instruction scalability";100.000000;112.636527;113.240588;112.475253;112.755588;112.131370;111.602065;108.566100;108.985662
" -- Frequency scalability";100.000000;100.315772;98.358538;93.621606;94.450829;92.729609;92.818183;91.589134;91.518996
